gene,0,1,2,3,4,5,6,7,8,9
Lck,-0.00014622135558568794,-0.00012737689182392602,0.00015312522769458136,-0.00015847963733360497,-0.00017784119867349598,-0.0004772501021530304,-0.0010174755753474198,-0.0004960603536077058,-0.0008963715690500901,-0.0009602477762905753
Galnt1,-4.9614089590483696e-05,5.5431998212370786e-05,0.00035326079330365854,0.0005020512920064426,7.504485337061779e-05,0.00028474466906171523,-0.0017851112464497255,-0.0002392663941248954,-0.00022505349244810325,-0.0004421031263651208
Mkrn2,-0.000135708823414782,-0.000229393566872115,-1.5012868886213287e-05,-0.0006701655099501553,-0.00015361184765347105,-0.0003702839465415367,-0.000934141351459986,-0.0005492373850245938,-0.0006230980414528366,-0.0007348352080618356
Pparg,-7.388026934807454e-05,-0.00020415993339199904,6.420177469772594e-05,-0.0005242349888983487,-0.00016104386974876493,-0.00045157822481548996,-0.0010874583630660903,-0.0006900804898133529,-0.0006679467401636351,-0.0009679653294456624
Raf1,-0.00011485381315911587,-0.001007472165934296,0.00039371594572887655,-0.004273882571084131,-0.00018714671998762398,0.0012281632462923006,0.0015977814533978656,-1.138746385280164e-05,-0.00019781243790769907,4.0799091901324394e-05
Septin1,-0.000164500921809345,-6.108837123861717e-05,0.00012504833269298427,-0.00021535679002785657,-0.000164299362466566,-0.0004605560640412449,-0.0009880670349545267,-0.0004782600156670966,-0.0009314578033228301,-0.0009851876796904185
Acvrl1,-0.00014228482036220602,-1.5390432542690782e-05,0.00013320695097375943,-0.0001075653459970522,-0.000141365015039487,-0.00046083354127594384,-0.001176652059117377,-0.0005868544567255553,-0.0009171245470497285,-0.0009563908772922471
Tamalin,-0.00015041619376334798,-1.6037882479291803e-05,0.0001318500374900425,-0.00010532712233962559,-0.000149461664503925,-0.0004298826471957276,-0.0011447515629296713,-0.0005650239313331131,-0.0009322687722803433,-0.0009934351071535245
Acvr1b,-0.000199154615475915,-0.00011947250166554703,1.8446235663223784e-05,-0.0004349862175226051,-0.00014122426063800295,-0.0002852985703945103,-0.0012574977537632074,-0.0004918223314363324,-0.0005161132452795838,-0.0008779920628278774
Tom1l2,7.396940106112055e-05,-0.00020522490543969896,-0.0003010300243250364,-0.001059051648338643,-0.00025730309436912803,-0.0009933268332486152,-0.0004923872050870829,0.000731987792630288,-0.00028631709962387487,-0.0002212467088706518
Zfp385a,-0.00019375019384070005,1.4316807689982697e-06,-6.351437434205204e-05,-0.0006532585482918727,-5.579630819216042e-05,-0.0004465286109633674,-0.001308364537134353,-0.0005428691984004398,-0.0003823787502355908,-0.0012462180060918717
Itga5,-0.000823991500889475,-0.000457497548314339,0.00027212314553695904,-0.0011337170037825355,0.0001292146066737039,0.0015441675188325808,-0.0007440418522967864,-0.0002012933969053726,-0.0009837553328304245,-0.0012903512541410623
Wdr77,-7.867927721440431e-05,-0.00023966637542442902,7.315758150556166e-05,-0.00020355474249066465,-0.00016185210215103205,-0.0002581287363595051,-0.0003208003540410646,-0.0003060101983295478,-0.0009084765694119718,-0.0005491436323372001
Atp5pb,0.00134720251083333,-0.0004449157137619119,-0.004071288137145846,0.0033135242784962235,0.0008694633017253504,0.008171027547794871,0.009971027707989832,-0.014472075706555268,-0.004760419266889055,0.004530562735839909
Sox9,-0.000161136438435297,-8.034731720913539e-05,0.00020773396839774566,-0.00021149399201103806,-0.000116843386854896,-0.0003244861368687786,-0.0010181836472560987,-0.0005151779133509448,-0.0009626855882673114,-0.0011191104466795247
Hnrnpd,-0.0003921722618422338,-0.0004710674811972328,-0.00015620084057694987,-0.0006055916573224709,-4.7162618211832624e-05,-0.00015094952754427716,-0.00035120633239029466,-0.00019420488608576486,0.0006876454449697589,-0.0017834263752324058
C1d,2.8555200137737167e-05,7.145744894502599e-05,-0.0005463842461291958,-0.0007405783504311322,-8.749875453894688e-05,-0.00015332778245212537,0.0013296516921582429,-0.0029248799103950575,-0.0018868239476026649,0.00010676575464563965
Gm2a,0.0011848003669767807,0.001029372565047549,-0.0016547647908977433,-0.0019241664236562465,0.0007329872468381436,-0.001524238522747507,-0.001179919490092559,0.00581110165045004,0.00043668670104379483,8.360094508317189e-05
Krit1,-0.0004615015130317731,-0.000423549942583974,6.0774078450678745e-05,-1.4731029972568212e-05,-0.00017154079145198284,-6.335935340307949e-05,-0.00015190904520232467,0.0012337788074933398,-0.0013768566619432898,-0.0001279944028157372
Clcn4,-0.00036497804265164503,-6.106197435936121e-05,0.0007705252862764019,0.0010623406264730956,-6.400708560031952e-05,-0.0001383103797586173,0.000533425338345179,0.0035760457316810334,-0.0013109496727340133,0.00038483746723545667
